,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
65,601127,赛力斯4月新能源汽车销量27868辆 第一季度实现净利润转正,5月5日晚间，赛力斯601127发布产销快报。,2024-05-05 20:04:12,证券时报网,http://finance.eastmoney.com/a/202405053066552737.html
66,601127,赛力斯：3月赛力斯汽车销量同比增长579.15%,证券时报e公司讯，赛力斯6011274月1日晚间公告，3月新能源汽车销量27730辆，同比增长225.81%。,2024-04-01 17:00:14,证券时报网,http://finance.eastmoney.com/a/202404013031352659.html
67,601127,主力动向：5月31日特大单净流出14.98亿元,（数据宝） 特大单净流入资金排名 代码简称收盘价（元）涨跌幅（%）特大单净流入（亿元）行业601127赛力斯88.933.393.14,2024-05-31 16:46:48,证券时报网,http://stock.eastmoney.com/a/202405313092498935.html
68,601127,比亚迪、广汽埃安、赛力斯，5月新能源车卖爆了！,赛力斯（601127）发布的5月产销快报显示，赛力斯5月销量达3.41万辆，同比增长298.62%；今年1—5月，赛力斯新能源汽车累计销量,2024-06-02 20:54:50,证券时报·e公司,http://finance.eastmoney.com/a/202406023093162290.html
69,601127,赛力斯汽车已报案！问界回应山西M7事故：安全气囊正常打开 电池包未自燃,4月29日，赛力斯（601127.SH）发布2024年一季报和2023年年报。,2024-05-06 17:39:13,每日经济新闻,http://finance.eastmoney.com/a/202405063067477294.html
70,601127,6月3日上市公司重要公告集锦：比亚迪5月份实现新能源汽车销量33.18万辆,：5月份新能源汽车销量同比增长298.62% 赛力斯（601127）公告，5月份实现新能源汽车销量34130辆，同比增长,2024-06-02 21:47:20,证券日报,http://finance.eastmoney.com/a/202406023093179297.html
71,601127,土耳其拟对中国进口汽车加征40%关税 多只汽车股股价下跌！,601127.SH)股价均微跌。,2024-06-12 17:32:04,每日经济新闻,http://finance.eastmoney.com/a/202406123102005030.html
72,601127,24股受融资客青睐 净买入超5000万元,0.9022663.59282115.140.18石油石化600519贵州茅台-0.2421633.532014124.960.94食品饮料601127,2024-05-15 09:28:33,证券时报网,http://stock.eastmoney.com/a/202405153076944169.html
73,601127,主力动向：5月30日特大单净流出112.75亿元,-2.16汽车601288农业银行4.39-0.90-1.99银行000001平安银行11.12-1.24-1.98银行601127,2024-05-30 17:04:25,证券时报网,http://stock.eastmoney.com/a/202405303091397125.html
74,601127,主力动向：5月27日特大单净流出12.73亿元,赛力斯86.602.961.41汽车600522中天科技15.344.921.38通信000001平安银行11.511.771.35,2024-05-27 16:50:42,证券时报网,http://finance.eastmoney.com/a/202405273088022219.html
